step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,param_bins,param_multichannel
0,-1.82958946287608,-5.257755529836858,0.798,162,4.547791724757245,8.395507297840924,1.1492956963543135,-2.4547626972198486,-0.007390442304313183,1.5642954111099243,-7.002554425463034,-1.82958946287608,1.7447988956261749,256,True
1,-1.8004204343325476,-4.904003138990503,0.876,162,3.941748219991308,8.220106254014402,1.1803721447647448,-2.7141592502593994,-0.006886656861752272,1.4926342964172363,-6.655907456284129,-1.8004204343325476,1.7519043172936257,256,False
2,-1.5431107891868088,-5.258439545223501,0.799,162,4.565037136527575,8.732386211361545,1.1838133470073926,-2.453372001647949,-0.007395125925540924,1.5603433847427368,-7.01840908005727,-1.5431107891868088,1.7599695348337694,128,True
3,-1.5204270016828931,-4.907279784805065,0.877,162,3.9499378973279717,8.539818849258067,1.1977291060827728,-2.719043016433716,-0.011843081563711166,1.4869074821472168,-6.66898080812363,-1.5204270016828931,1.7617010233185646,128,False
4,-1.522692723310972,-5.278948117053124,0.804,162,4.5942102006818235,9.354840931511925,1.233830488426743,-2.4639792442321777,-0.0074799759313464165,1.5532299280166626,-7.058189382972667,-1.522692723310972,1.779241265919543,64,True
5,-1.5291257705259425,-4.951555708074842,0.884,162,3.9675922117757363,9.099823986032911,1.2192488209857535,-2.7465991973876953,-0.06877518445253372,1.4652063846588135,-6.714191289976494,-1.5291257705259425,1.7626355819016513,64,False
