step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
10,-4.580952019378145,-5.91643926230646,0.58,35,5.676707759452298,6.296830309733722,0.5214724438377494,-1.8452457189559937,-0.05623580887913704,1.5363134145736694,-7.521953401406542,-4.580952019378145,1.6055141391000824,0.19759040315665605,0.022209649637304173
11,-2.8840812465835475,-5.472167226368362,0.66,75,5.107647982250802,5.837442500191129,0.6769335339300844,-2.062751054763794,-0.06789153069257736,1.5370737314224243,-7.170398952376001,-2.8840812465835475,1.6982317260076385,-0.25,0.01
12,-2.8062091366132758,-5.2872352346577145,0.75,75,4.5735287556833075,5.179170955391496,0.4954711431435381,-2.3171722888946533,-0.027825910598039627,1.5285590887069702,-6.890701146986191,-2.8062091366132758,1.6034659123284767,-0.13057446084607105,0.01
13,-2.9619352050403522,-5.3324317554642615,0.81,75,4.446914034886353,4.951115480645567,0.4029701827916895,-2.4184412956237793,-0.03208247944712639,1.4748178720474243,-6.865355225121671,-2.9619352050403522,1.532923469657409,-0.08894555056152484,0.01
14,-2.7473113038544223,-5.311431938717641,0.75,75,4.6552521164577385,5.306038059125721,0.5352755398367574,-2.277082920074463,-0.03323889523744583,1.525882601737976,-6.9323349334906705,-2.7473113038544223,1.6209029947730291,-0.15180248789044948,0.01
15,-2.7933054001090363,-5.293282130899053,0.75,75,4.594376273295003,5.212655687631873,0.5065679100518897,-2.306504249572754,-0.028569776564836502,1.5277684926986694,-6.9008808788937515,-2.7933054001090363,1.607598747994699,-0.1362366152264769,0.01
16,-2.7906849816891146,-5.294246245469561,0.75,75,4.5982247978579975,5.218740590889171,0.5085368380799854,-2.3044729232788086,-0.028786486014723778,1.5276423692703247,-6.902697810972182,-2.7906849816891146,1.6084515655026204,-0.13726071730218303,0.01
17,-2.7453478290636095,-5.340396888481304,0.75,75,4.7563298854740275,5.444086013627385,0.570891860509576,-2.2194201946258545,-0.03288957476615906,1.52190101146698,-6.975749927810013,-2.7453478290636095,1.6353530393287097,-0.17195757665975753,0.010280786757846447
18,-2.81727141996923,-5.306686809998805,0.77,75,4.553055904002478,5.145432562843764,0.4838121321227928,-2.3420138359069824,-0.027046099305152893,1.5134766101837158,-6.895069798173001,-2.81727141996923,1.5883829881741962,-0.12480270491514528,0.01
19,-2.824309645386077,-5.294946178476341,0.76,75,4.5615473334145875,5.1564244706293545,0.4859595015352521,-2.3286495208740234,-0.027282631024718285,1.5218476057052612,-6.890196716210727,-2.824309645386077,1.5952505377343857,-0.1257052770494139,0.010074121169789348
20,-2.8146168616474707,-5.286561039177149,0.75,75,4.570623540726867,5.17270130288193,0.49232113110229553,-2.318081855773926,-0.02776425890624523,1.5286351442337036,-6.888705328681883,-2.8146168616474707,1.6021442895047338,-0.12890619359271674,0.010043549081920703
21,-2.810719473403032,-5.295577108149479,0.76,75,4.563419028649714,5.1626207002853315,0.48981460515136815,-2.3289988040924072,-0.027509476989507675,1.5218313932418823,-6.8924177725786855,-2.810719473403032,1.5968406644292064,-0.12775262801796644,0.01
22,-3.6660252204130384,-5.334030475171026,0.79,75,4.384733613443407,4.72314765270303,0.23488644769408645,-2.456190824508667,-0.05666642636060715,1.484939455986023,-6.8409244375795435,-3.6660252204130384,1.5068939624085174,-0.016466256403586288,0.010101289384574965
23,-2.955930337907392,-5.332530115992151,0.81,75,4.4493901281492505,4.956214368996288,0.4054941084338677,-2.417001247406006,-0.03146681934595108,1.4751888513565063,-6.866391432254173,-2.955930337907392,1.5338613162620218,-0.08997875019563317,0.01
24,-4.656480484868247,-6.374450538088793,0.16,75,6.65801331255027,7.639742989638319,0.7033898588311585,-0.7283276915550232,-0.1135670468211174,0.7467525601387024,-7.386341032268489,-4.656480484868247,1.011890494179697,-0.24998571017120544,0.09407562379673057
