step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
14,-0.20603414342896462,-1.3162867530258657,0.828,363,0.21596586741842022,0.23195384780244338,0.010827935112023717,-2.6183087825775146,-0.00023236589913722128,1.5176646709442139,-2.834274715283961,-0.20603414342896462,1.5179879622580954,0.01,0.42652757646834805
15,-0.19975158753984618,-1.3067799725820604,0.824,363,0.2212305548648344,0.24059106357103274,0.011369912259090783,-2.609876871109009,-0.00012696595513261855,1.5241857767105103,-2.8311073482937696,-0.19975158753984618,1.5243273757117093,0.01,0.5041268165088241
16,-0.21194996756014306,-1.3404411173127802,0.832,363,0.22964980549594446,0.2561560939503055,0.017926314886439886,-2.6176259517669678,-0.0018987192306667566,1.507043480873108,-2.847275822579591,-0.21194996756014306,1.5068347052668107,0.01,0.6400371321600016
17,-0.3639195545655956,-1.2884774203597291,0.774,363,0.4090224605802685,0.44206337278439856,0.019724756163982483,-2.422567844390869,-0.005070286337286234,1.5424491167068481,-2.831590319641797,-0.3639195545655956,1.5431128992820677,0.018364440126630327,0.47078538839932943
18,-0.4581888579185938,-1.3024136366991352,0.764,363,0.4866920032889624,0.5217038531790152,0.02528197711806153,-2.3595829010009766,-0.0033286118414252996,1.542636752128601,-2.8462751653543252,-0.4581888579185938,1.54386152865519,0.022545696780503346,0.39063559376019014
19,-0.39753420719996274,-1.2967113292823385,0.764,363,0.4595262121575682,0.4986179509991134,0.02304636644843418,-2.384340286254883,-0.004154718015342951,1.5465493202209473,-2.8438666999436713,-0.39753420719996274,1.5471553706613328,0.020538671830441134,0.4973538262792398
20,-0.37801677902129993,-1.2936359808323845,0.773,363,0.42739820065610784,0.4621348176966101,0.020616378553878326,-2.4080748558044434,-0.0036493290681391954,1.5412157773971558,-2.8354731189185354,-0.37801677902129993,1.5418371380861509,0.019181407605482474,0.470704854910906
21,-0.35259020126013685,-1.4633418086573375,0.688,182,0.954492222981956,1.352948851520113,0.16383612168873415,-2.0576415061950684,-0.0075555844232439995,1.5478310585021973,-3.0121337372497288,-0.35259020126013685,1.5487919285923912,0.052201491896303284,0.01
22,-0.52034649502404,-1.4645967648265084,0.725,363,0.7968046413712384,1.0697455637939302,0.12807508132549883,-2.234828233718872,-0.011206842958927155,1.5732145309448242,-3.0316326695732956,-0.52034649502404,1.5670359047467872,0.03254245994059586,0.988745834015794
23,-0.5082242081723887,-1.3615956823272322,0.755,757,0.5839691701627509,0.6719036853234993,0.05388013905345905,-2.3239009380340576,-0.0015542061300948262,1.5439260005950928,-2.9078700289430035,-0.5082242081723887,1.5462743466157713,0.02887766341756002,0.22450169156972444
24,-0.3719358665055955,-1.301753468331481,0.781,363,0.4181860753303345,0.4520942265280376,0.020071580517257194,-2.4211039543151855,-0.005201972089707851,1.5369539260864258,-2.839289917610674,-0.3719358665055955,1.537536449279193,0.018790527734844863,0.4663468242747812
