step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_size
0,-1.1065147676211533,-3.1814248094927633,0.778,282,2.134029590024887,3.971786050853551,0.5812381229852928,-2.90301513671875,-0.0006699421210214496,1.7631055116653442,-5.037044560581778,-1.1065147676211533,1.8556197510890147,5.0
1,-1.4377031356262528,-2.997315710892374,0.069,914,3.229794172084935,4.96538091674627,0.6487996923847801,-0.5806030035018921,0.0,0.5143263936042786,-3.810397244233275,-1.4377031356262528,0.813081533340901,29.74136121495401
2,-1.8148523288313791,-3.7348413379912255,0.009,914,3.5442368174613725,5.126154048088194,0.6625222698365077,-0.928270161151886,-1.2040211004205048e-05,0.3242538273334503,-4.472506978494121,-1.8148523288313791,0.7376656405028961,45.34862818228629
3,-1.9911143844449841,-3.523276874621775,0.009,914,3.6071123804530427,5.234773433648397,0.6656536370121103,-0.6258745789527893,-5.370522558223456e-05,0.2233612835407257,-4.232986948236495,-1.9911143844449841,0.7097100736147199,49.23427670606418
4,-1.5477379300606988,-3.2544025053396126,0.021,914,3.4258289884106317,5.027414397577209,0.6570472896032296,-0.5483896136283875,-7.927449587441515e-06,0.2879628539085388,-3.974218547886507,-1.5477379300606988,0.719816042546894,38.784275560499225
5,-1.552751025066961,-3.1678917571378085,0.027,914,3.355492633574272,5.007951805762573,0.6540024980674561,-0.5485846400260925,-8.583106136939023e-06,0.3478439748287201,-3.9040772568915947,-1.552751025066961,0.7361854997537861,35.299710391533985
6,-1.8289466716075982,-3.7073583545489726,0.009,914,3.5473850810951397,5.131537813791653,0.6626731793017635,-0.8876978754997253,-1.3411135114438366e-05,0.301933616399765,-4.435083003424648,-1.8289466716075982,0.7277246488756753,45.5362426454388
7,-1.257194749340801,-2.5118072245648198,0.269,914,2.8671958859248554,4.810010700264175,0.6346193000517586,-0.9759669303894043,-4.768372718899627e-07,1.204142451286316,-3.8431628359522545,-1.257194749340801,1.3313556113874347,17.606460625015632
8,-1.8266022186916684,-3.7112138925390474,0.009,914,3.546928244101922,5.130756629927379,0.6626513570234355,-0.8930999040603638,-1.3351529560168274e-05,0.3043384253978729,-4.440028113155123,-1.8266022186916684,0.7288142206160758,45.508983087051156
9,-1.2596297630236533,-2.5365528505194828,0.516,765,2.5294454022992956,4.476400681683455,0.6160262806576551,-1.8249766826629639,-3.57628505298635e-06,1.7384227514266968,-4.354422107338185,-1.2596297630236533,1.8178692568187025,10.240112204898741
10,-1.6910353601300137,-3.2112591647490816,0.023,914,3.3890386740970633,5.017374479161943,0.6554376354672241,-0.5474728941917419,-1.09077091110521e-05,0.314219206571579,-3.9365116011896744,-1.6910353601300137,0.7252524364405928,36.925684188310555
11,-1.3085625333296573,-2.4636581544601386,0.443,765,2.635232179457459,4.608311474356474,0.6228610022525674,-1.5427095890045166,-1.4305124977909145e-06,1.6229803562164307,-4.177941801577573,-1.3085625333296573,1.714283647117434,12.198195450619655
12,-1.1477990827277544,-2.4367554271384,0.362,914,2.744827665682535,4.717675177019325,0.6287343291969099,-1.2538198232650757,-2.3841860752327193e-07,1.4484491348266602,-3.998647399938062,-1.1477990827277544,1.561891972799662,14.564549236396394
13,-1.3652215773100185,-2.4326892647435967,0.381,765,2.71467985808128,4.690267345812808,0.6271539858484905,-1.331106185913086,-2.3841860752327193e-07,1.5065293312072754,-4.045786032580678,-1.3652215773100185,1.6130967678370813,13.885280267080123
14,-1.1279490741488343,-2.4462440106609193,0.342,914,2.7745243155388724,4.742939302546476,0.6303545236514266,-1.1804978847503662,-2.3841860752327193e-07,1.3930773735046387,-3.9550222664293013,-1.1279490741488343,1.5087782557683822,15.258574836597418
15,-1.1236873941251813,-2.6660401657719275,0.141,914,3.030213397610568,4.891322998087066,0.641163958250194,-0.7051205635070801,-2.145769485650817e-06,0.882637083530426,-3.7353339503602223,-1.1236873941251813,1.0692937845882946,22.428883144248132
16,-1.3630059505445578,-2.4331610731389066,0.382,765,2.7120437883415107,4.687788370492292,0.6270222930651804,-1.3380180597305298,-2.3841860752327193e-07,1.5107208490371704,-4.0500617724139865,-1.3630059505445578,1.61690069927508,13.826980181095422
17,-1.36438209832729,-2.4330496376103072,0.382,765,2.713676480230174,4.689325391806425,0.6271037390465221,-1.3340022563934326,-2.3841860752327193e-07,1.5080291032791138,-4.047678692760186,-1.36438209832729,1.614629055149879,13.863069621183879
18,-1.2938858357869707,-2.5636036642116005,0.209,914,2.9465265269579475,4.854827695623048,0.63794979695265,-0.8212196230888367,-2.145769485650817e-06,1.0445669889450073,-3.7677461282083256,-1.2938858357869707,1.204142463996725,19.832461755266888
19,-1.3589038856919038,-2.432332680122925,0.386,765,2.7070454574920078,4.683049447611698,0.6267752292489167,-1.3497072458267212,-2.3841860752327193e-07,1.5188324451446533,-4.056752679012659,-1.3589038856919038,1.6244199988897339,13.716892037008305
20,-1.3416596398121243,-2.4310752013366774,0.396,765,2.68452811749997,4.660980951744677,0.6256382223255839,-1.4055427312850952,-3.576279254957626e-07,1.5560276508331299,-4.090070873473374,-1.3416596398121243,1.658995672136697,13.227121481894812
21,-1.3469301382863448,-2.4320462860793928,0.392,765,2.691687947409943,4.668152369678762,0.6260268006683274,-1.3879207372665405,-3.576279254957626e-07,1.5438413619995117,-4.079608683464311,-1.3469301382863448,1.6475623973849183,13.3822079003897
22,-1.3484817546140828,-2.4301010376137118,0.39,765,2.6937797421530605,4.670216752963907,0.626134065678181,-1.3813427686691284,-3.576279254957626e-07,1.5410486459732056,-4.07512261776068,-1.3484817546140828,1.6450215801469688,13.427569552130159
23,-1.3484959446754847,-2.4301063129826357,0.39,765,2.6937985713965023,4.670235274230626,0.6261350143205241,-1.3812999725341797,-3.576279254957626e-07,1.5410165786743164,-4.07509849158495,-1.3484959446754847,1.6449921786023147,13.427977916895834
24,-1.3486122409577923,-2.4301539775983168,0.39,765,2.6939539744061545,4.670387967421863,0.6261426414341665,-1.3809469938278198,-3.576279254957626e-07,1.5407495498657227,-4.0749010075745495,-1.3486122409577923,1.6447470299762328,13.431346305011884
