step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,param_bins,param_multichannel
0,-1.9502018052727523,-6.201952833958197,0.882,721,4.578390765773778,9.222562837652394,1.1418904945781063,-3.4055073261260986,-5.066407538834028e-06,1.539026141166687,-7.983898121473114,-1.9502018052727523,1.781945287514917,256,True
1,-1.9720069738808084,-5.844387995973967,0.918,721,3.955223773728479,8.220106254014402,1.1594518933573346,-3.5997486114501953,-8.225474630307872e-06,1.4161550998687744,-7.55497226720773,-1.9720069738808084,1.7105842712337633,256,False
2,-1.7130182437021584,-6.211196388895838,0.881,914,4.597246669043329,9.179088625227095,1.1757435873624784,-3.414062023162842,-5.7816673688648734e-06,1.5335235595703125,-8.011308834733015,-1.7130182437021584,1.8001124458371764,128,True
3,-1.91728577829667,-5.868461039511663,0.923,721,3.964974632664066,8.221954205440527,1.176503321146022,-3.6124091148376465,-1.0967314665322192e-05,1.399353265762329,-7.577383706895234,-1.91728577829667,1.7089226673835711,128,False
4,-1.7619303372631114,-6.265128141997629,0.887,721,4.629057112632095,9.167111452302025,1.2260717841598205,-3.430370330810547,-9.89442014542874e-06,1.513637661933899,-8.059427472252981,-1.7619303372631114,1.794299330255352,64,True
5,-1.7024338707834699,-5.892615663358412,0.923,721,3.9852063048032726,8.239772275597524,1.1983970635225771,-3.624979257583618,-1.7047073924914002e-05,1.392438292503357,-7.61018558497999,-1.7024338707834699,1.7175699216215785,64,False
