step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
0,-1.0478942345710274,-1.2701278970459675,0.57,34,1.0628356576689664,1.1497175663597117,0.04627834006136452,-1.4825923442840576,-0.07844215631484985,1.2788175344467163,-2.545428196636695,-1.0478942345710274,1.2753002995907277,0.05,0.5
1,-2.4104153379081157,-3.1657943856754187,0.14,31,3.2342591405119867,3.9982727513048983,0.4032628755885409,-0.5809242129325867,-0.001316221198067069,0.5999064445495605,-3.8151833622525566,-2.4104153379081157,0.6493889765771378,0.15077401411406047,0.8969725636457258
2,-3.1182499175092135,-4.596405893254389,0.03,50,4.700353185943597,5.410594379733157,0.43150379112807624,-0.4983657896518707,-0.00030259895720519125,0.4572875499725342,-5.198718936416182,-3.1182499175092135,0.6023130431617931,0.24624951856031432,0.7656855112099844
3,-2.7015388496710186,-3.6431530148226092,0.13,50,3.709823360767991,4.592760235085315,0.46452106931061454,-0.5667241215705872,-0.0005792864831164479,0.5527905225753784,-4.276547507215368,-2.7015388496710186,0.6333944923927589,0.17799858150955422,0.900724852908776
4,-1.761739006647555,-2.117378897198328,0.37,34,2.0662642846294963,2.5572664913937366,0.2604378904043026,-0.9776473045349121,-0.034425150603055954,0.9522444605827332,-3.0439116480612483,-1.761739006647555,0.9265327508629201,0.09133776632660716,0.900179661741023
5,-1.1329039200180309,-1.313151155085624,0.48,34,1.2441292732090279,1.412008691298242,0.1095850131745606,-1.3306678533554077,-0.057717885822057724,1.2651607990264893,-2.574797181437962,-1.1329039200180309,1.2616460263523381,0.0552576924321571,0.7285136837662111
6,-3.5705157546389255,-4.359809699836107,0.05,98,4.214534605988688,4.65977162867096,0.3031008244869399,-0.7618277668952942,-0.019394217059016228,0.533109724521637,-4.976362399091399,-3.5705157546389255,0.6165526992552923,0.24689026597299008,0.2727278929684782
7,-2.1565812900210575,-2.8662967528319196,0.18,98,2.927707838591264,3.5667486226926997,0.3558881218986846,-0.702187716960907,-0.08604785054922104,0.7200623750686646,-3.6298955133818844,-2.1565812900210575,0.7635987605499647,0.1686943651036214,0.1396635135543936
8,-1.553566722694873,-1.8345758167758293,0.43,34,1.7677222926770444,2.1693289747791376,0.2173160400467558,-1.1416987180709839,-0.05175914615392685,1.0973881483078003,-2.909421031162619,-1.553566722694873,1.07484521438679,0.07716922633275321,0.8834055492199383
9,-4.116686213625538,-4.671067937341182,0.04,50,4.561618718858146,4.886998436616649,0.17798083477502546,-0.6131976842880249,-0.0015670411521568894,0.45956680178642273,-5.174816423529329,-4.116686213625538,0.5037484861881466,0.2499836742179999,0.5238051771183004
10,-2.880601168540737,-3.6877110920234633,0.08,98,3.736403766326169,4.534039507581598,0.44317106843406096,-0.7064993977546692,-0.020228233188390732,0.664718508720398,-4.44290326291279,-2.880601168540737,0.7551921708893264,0.22484339351519492,0.14294951827286764
11,-0.5092708962222026,-1.522660001086106,0.86,14,0.1884797863711525,0.253486167170085,0.0336230171521559,-2.7429986000061035,-0.35009679198265076,1.4113084077835083,-2.9314784206499267,-0.5092708962222026,1.4088184195638207,0.01,0.01
12,-0.3706561203858101,-1.3886361858371585,0.82,5,0.23543635565073973,0.26457274192963537,0.019603692045216028,-2.554114580154419,-0.1629195213317871,1.4017739295959473,-2.789550988406258,-0.3706561203858101,1.4009148025690994,0.01,0.7051617530849636
13,-0.954828358757095,-1.2291027452591368,0.61,2,0.8749839324101442,0.9622221537307326,0.05453197539523953,-1.7150323390960693,-0.15305756032466888,1.363228678703308,-2.5900162972852225,-0.954828358757095,1.3609135520260858,0.03921036418060936,0.6209482065939066
14,-1.0392517096705858,-1.2663496344168224,0.56,34,1.0116419799504286,1.108556586286887,0.061728559934677886,-1.5762802362442017,-0.15077435970306396,1.3239338397979736,-2.5879221403477204,-1.0392517096705858,1.321572505930898,0.04594598317904186,0.6124485849236428
15,-0.9707935595681128,-1.236645827981056,0.62,2,0.791013743901967,0.860584547875879,0.04099976700485941,-1.8322703838348389,-0.2176136076450348,1.3885496854782104,-2.623283803934573,-0.9707935595681128,1.386637975953517,0.03568032834571192,0.566924200000305
16,-0.9287664813299893,-1.2197041240435775,0.61,2,0.840668727902912,0.9374483802169373,0.0626696806307724,-1.7626599073410034,-0.13170677423477173,1.3858988285064697,-2.6033284844441638,-0.9287664813299893,1.3836243604005862,0.036942361289703074,0.6739332521217567
17,-0.9464641471876808,-1.236947830427519,0.67,43,0.8179181628316671,0.9332344205907765,0.07545964720909978,-1.7811427116394043,-0.08999595046043396,1.3683795928955078,-2.599060719797018,-0.9464641471876808,1.3621128893694991,0.03512505074473354,0.7441366433402627
