step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-2.6941782020908915,-5.118354773754507,0.27,93,5.506372977289675,6.91250874150461,0.915483189527365,-0.8499997854232788,-0.007904274389147758,0.9884335398674011,-6.356372586599855,-2.6941782020908915,1.2380178128453487,0.0,0.2
1,-3.5841129348167344,-6.43298069640352,0.03,93,6.8957742625769285,8.323519111172484,1.0116456216774252,-0.5194326043128967,-0.0017868737922981381,0.5032158493995667,-7.415206846297119,-3.5841129348167344,0.9822261498935985,0.08655839214191863,0.9098203423096322
2,-3.5207609212458313,-6.0042020873486805,0.11,93,6.540415872702166,7.869405652696144,0.8941978246766447,-0.5206239223480225,-0.0048872255720198154,0.6001039743423462,-7.061039788032673,-3.5207609212458313,1.056837700683992,0.48437299400130973,0.7825522812749849
3,-3.651174474162583,-6.379823466963525,0.03,93,6.841875902114278,8.224270670367456,0.9768702862170449,-0.5266935229301453,-0.002091447589918971,0.5518369674682617,-7.368569355395465,-3.651174474162583,0.9887458884319403,0.19999408962314258,0.9134577655748339
4,-3.510982411596759,-6.533540728304215,0.03,93,7.000927526294763,8.50008063986773,1.0880120495746255,-0.5443591475486755,-0.0012426942121237516,0.46739909052848816,-7.5452866880903455,-3.510982411596759,1.0117459597861311,-0.16109264030580345,0.9129292639326244
5,-3.445069841326603,-6.454559843669368,0.04,93,6.905365150909579,8.626036377592108,1.1281798281189255,-0.5834589600563049,-0.0024804812856018543,0.47149595618247986,-7.488824109173088,-3.445069841326603,1.03426426550372,-0.31142628153267876,0.7465183669162251
6,-3.9478112342266556,-5.310658185842377,0.31,13,5.632867123165893,7.040140655941609,0.8395995266859613,-1.0813453197479248,-0.04667765274643898,1.2018747329711914,-6.714212562048601,-3.9478112342266556,1.403554376206224,0.4870427748874586,0.3046852023674023
7,-3.6283305703255158,-5.024051488936063,0.4,93,5.235090725274595,6.653259380224295,0.839810320751322,-1.1518326997756958,-0.022459564730525017,1.2065925598144531,-6.386923356449069,-3.6283305703255158,1.3628718675130052,0.16122652126508918,0.17569422232313664
8,-3.509332579477804,-6.554122702669788,0.04,93,7.006961526089673,8.548742085727573,1.1049334234675166,-0.5621312856674194,-0.001293362700380385,0.47128432989120483,-7.569092834529092,-3.509332579477804,1.0149701318593047,-0.2201282236135283,0.896668644651981
9,-3.262307508745582,-5.686386907733959,0.17,93,6.188558597585732,7.5570546640989695,0.8720129296394767,-0.6576268076896667,-0.012433375231921673,0.8030036687850952,-6.846185468745031,-3.262307508745582,1.1597985610110724,0.49993197590833294,0.5480764472065157
