step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.0006202882059956,-3.0410205854805556,0.844,392,1.894190853686445,3.8036089474729144,0.5518714541149147,-2.6804776191711426,-0.05247712880373001,1.4782214164733887,-4.574668408141845,-1.0006202882059956,1.533647822661289,1.0
1,-1.7991614283542525,-3.2605211563783607,0.009,976,3.428007634459582,5.106737778078681,0.6798505969193618,-0.5313844084739685,-0.007885349914431572,0.21898618340492249,-3.9593920533243168,-1.7991614283542525,0.6988708969459559,14.180761813370568
2,-1.8557487220284856,-3.6430659660486406,0.008,861,3.7047125781791084,5.531645291955813,0.6996099153944506,-0.6488292217254639,-0.022828372195363045,0.20544831454753876,-4.353541846435309,-1.8557487220284856,0.7104758803866688,21.745508557740806
3,-1.9101325822120983,-3.7010452377410514,0.008,861,3.757842206865954,5.6186799076139575,0.7040748020621309,-0.6577612161636353,-0.012832853943109512,0.20761433243751526,-4.41560339460935,-1.9101325822120983,0.7145581568682982,23.628858607531107
4,-1.7932597678463043,-3.4914397487652784,0.007,861,3.602642962654503,5.3584079301053835,0.6917297774072835,-0.5898928642272949,-0.01526709459722042,0.19753310084342957,-4.192535845932933,-1.7932597678463043,0.7010960971676544,18.563807031874624
5,-1.814900019136831,-3.4024948510609407,0.007,861,3.5407887997709957,5.251718847805061,0.6873366883170808,-0.5597085356712341,-0.010394406504929066,0.2005559206008911,-4.100497357048914,-1.814900019136831,0.6980025059879729,16.874859628549636
6,-1.8585852041242732,-3.646444965054843,0.008,861,3.7073853625368502,5.5360717310472785,0.6998287620331398,-0.6497396230697632,-0.023136677220463753,0.20556430518627167,-4.357125014866906,-1.8585852041242732,0.7106800498120628,21.836444139370847
7,-1.17818173344219,-2.841119197378541,0.041,976,3.0862277963436258,4.9251000047416476,0.6599008464757459,-0.48759886622428894,-0.005067051388323307,0.35836589336395264,-3.573826661609118,-1.17818173344219,0.732707464230577,8.299049792737168
8,-1.8581701783981175,-3.645940627707866,0.008,861,3.706997793176471,5.535430161589507,0.6997969886328951,-0.6495925188064575,-0.023094527423381805,0.2055436223745346,-4.356590329093187,-1.8581701783981175,0.7106497013853209,21.82323159831561
9,-0.9774250057986031,-2.42938243374845,0.201,976,2.746443450187571,4.713140492879234,0.641533775064254,-0.733607292175293,-0.0033606071956455708,0.8668210506439209,-3.4800507712971935,-0.9774250057986031,1.0506683375487438,4.728625813598879
10,-1.7978801463259448,-3.444418145300028,0.007,861,3.570415802672348,5.301641867888618,0.6894087063215947,-0.5731741786003113,-0.01222929172217846,0.1988385170698166,-4.143590027881629,-1.7978801463259448,0.6991718825816008,17.662959172905627
