step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
0,-0.9017889369268715,-1.833078635845661,0.709,349,1.0625587821881477,1.1521824709849326,0.05036867542397239,-2.604888916015625,0.0,1.8352311849594116,-3.6674477070640235,-0.9017889369268715,1.8343690712183625,0.05,0.5
1,-1.5161803601069486,-3.0675550479923595,0.431,841,3.218691252275729,4.057818782305464,0.4194621015022394,-1.609527349472046,0.0,1.7462589740753174,-4.8282185940225535,-1.5161803601069486,1.760663546030194,0.15077401411406047,0.8969725636457258
2,-2.213518523688659,-4.322351497656283,0.281,381,4.684953579397726,5.528510954183378,0.4524636989098279,-1.0664702653884888,-4.768372718899627e-07,1.388864278793335,-5.751423732049947,-2.213518523688659,1.429072234393664,0.24624951856031432,0.7656855112099844
3,-1.6686126992191654,-3.4301330999468007,0.375,381,3.6922597500867136,4.664553890804976,0.4823713050389628,-1.4481242895126343,-1.1920930376163597e-07,1.6776753664016724,-5.14038402949783,-1.6686126992191654,1.7102509295510293,0.17799858150955422,0.900724852908776
4,-1.0233488693150483,-2.296458088560988,0.569,416,2.0562164132423804,2.5986799528020628,0.2712632059270743,-2.0890512466430664,-3.695556370075792e-05,1.8498579263687134,-4.145267791196364,-1.0233488693150483,1.8488097026353758,0.09133776632660716,0.900179661741023
5,-0.8194770939143644,-1.849090260760556,0.665,190,1.2402392441762322,1.4485316306311524,0.11697685358801424,-2.4710352420806885,0.0,1.8631154298782349,-3.711274446018896,-0.8194770939143644,1.86218418525834,0.0552576924321571,0.7285136837662111
6,-3.2606920627939853,-3.8981628441110736,0.31,108,4.231573529033888,4.65977162867096,0.2829036629186919,-1.1620219945907593,-0.00010932089207926765,1.4847317934036255,-5.393595376324377,-3.2606920627939853,1.4954325322133037,0.24689026597299008,0.2727278929684782
7,-1.8343396441154773,-2.8398554067373416,0.453,15,2.9468338976012114,3.6295751758353485,0.335099534434379,-1.631955623626709,-2.5511113562970422e-05,1.7296286821365356,-4.578789408890477,-1.8343396441154773,1.738934002153135,0.1686943651036214,0.1396635135543936
8,-0.9321314076163629,-2.1272924513577967,0.604,841,1.7594884414025578,2.2053682726406802,0.2264007534066923,-2.2200276851654053,-2.5033982637978625e-06,1.8518965244293213,-3.9795161380990494,-0.9321314076163629,1.8522236867412527,0.07716922633275321,0.8834055492199383
9,-3.367020620542795,-4.216933615729563,0.276,381,4.560116910705883,4.921105530312685,0.19534945272856666,-1.0359716415405273,-4.768372718899627e-07,1.3738012313842773,-5.596088595059884,-3.367020620542795,1.3791549793303208,0.2499836742179999,0.5238051771183004
