step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_size
0,-1.7459536873477686,-2.5251175502389724,0.71,48,2.0761014406806244,3.7653003222826125,0.5575944545912619,-1.8513466119766235,-0.1771887242794037,1.2927992343902588,-3.9274479860490574,-1.7459536873477686,1.402330435810085,5.0
1,-2.3532656751141054,-3.258302493065827,0.04,46,3.168186280120358,4.60429072765472,0.6640429485882136,-0.806102454662323,-0.32333362102508545,0.39967599511146545,-3.9742886578926893,-2.3532656751141054,0.7159861648268622,29.74136121495401
2,-3.0467926562952785,-3.9659952411849426,0.02,46,3.4890226056388824,5.11151351756455,0.7085059418210827,-1.2440108060836792,-0.6678481698036194,0.37538108229637146,-4.733033421259305,-3.0467926562952785,0.7670381800743621,45.34862818228629
3,-3.580816154399879,-4.950977944345446,0.0,83,3.55332522462294,5.2178520494289256,0.7188416775362532,-2.4031808376312256,-0.5854023098945618,0.7785562872886658,-5.956506186827873,-3.580816154399879,1.0055282424824266,49.23427670606418
4,-2.7505356467170152,-3.681613991030697,0.02,46,3.368015658566431,4.902735483655026,0.6905909484748028,-1.0614246129989624,-0.6931471824645996,0.3716834485530853,-4.429440124937967,-2.7505356467170152,0.7478261339072699,38.784275560499225
5,-2.6584732401853737,-3.5946538785153836,0.03,46,3.2963123667745635,4.7738979118804705,0.6807398099373225,-1.0315665006637573,-0.6429837942123413,0.37366393208503723,-4.327878916910176,-2.6584732401853737,0.7332250383947927,35.299710391533985
6,-3.048607689508014,-3.9691045703631898,0.02,46,3.492242372282978,5.116912651440741,0.7090093542567237,-1.2440605163574219,-0.6597892642021179,0.37608057260513306,-4.736302939304348,-3.048607689508014,0.7671983689411584,45.5362426454388
7,-1.9273852417418975,-2.79258741603474,0.12,88,2.7982631431665697,4.253568724425044,0.622990372976724,-0.6903907656669617,-0.0797964558005333,0.4434300363063812,-3.4886538968380965,-1.9273852417418975,0.6960664808033565,17.606460625015632
8,-3.0481847275230716,-3.96850108400386,0.02,46,3.49177530351241,5.116129941284837,0.7089362084539652,-1.243910551071167,-0.6606587767601013,0.3759949803352356,-4.735685734182194,-3.0481847275230716,0.767184650178334,45.508983087051156
9,-2.0304552630293182,-2.696258384740612,0.43,53,2.4603992398907155,4.062907516272935,0.5922437249045657,-1.1675779819488525,-0.3593558073043823,0.749567985534668,-3.627977095775745,-2.0304552630293182,0.9317187110351329,10.240112204898741
10,-2.7319270929075676,-3.6624736757030485,0.02,46,3.3304944186072,4.8357138095144965,0.6853725010794254,-1.0721957683563232,-0.6931472420692444,0.36951950192451477,-4.402690164313758,-2.7319270929075676,0.7402164886107095,36.925684188310555
11,-1.7230539173816464,-2.7122253627008606,0.8,48,1.9323851616463221,3.6278072105718877,0.5452201046398576,-2.2380354404449463,-0.2137647569179535,1.362775206565857,-4.170420410760359,-1.7230539173816464,1.4581950480594985,3.6997077467446053
12,-1.8396976923551278,-2.5531358208213115,0.61,53,2.2257071313472987,3.8935314917591186,0.5714177174658385,-1.5606887340545654,-0.2663337290287018,1.0971916913986206,-3.786395882389188,-1.8396976923551278,1.2332600615678768,6.704795782530313
13,-1.5855911339110578,-2.704791415423627,0.99,30,0.8345394251507108,1.6226830624515967,0.253093768177735,-3.1322555541992188,-0.6931472420692444,1.2153468132019043,-3.966794840471107,-1.5855911339110578,1.2620034250474799,1.0
14,-2.1997022805105084,-2.9924521538056315,0.07,46,2.97347418428786,4.3657099602836755,0.6410611439656781,-0.721801221370697,-0.1741465926170349,0.4169268310070038,-3.6952754834426185,-2.1997022805105084,0.7028233296369872,22.72230420055751
15,-1.8459805831752065,-2.567579024724891,0.62,53,2.23946188090503,3.9054438389950885,0.5729114510874929,-1.5430457592010498,-0.27496638894081116,1.074630856513977,-3.7825075387781832,-1.8459805831752065,1.2149285140532924,6.875745260596223
16,-1.837604669307055,-2.548344405425173,0.63,53,2.2067050554054166,3.8769068463672056,0.5693789929539687,-1.5977835655212402,-0.262729674577713,1.122629165649414,-3.8044885255592256,-1.837604669307055,1.2561441201340524,6.475135339229821
17,-1.8153809764578956,-2.521551524940675,0.66,53,2.1717518164594645,3.8462019617829055,0.5657929271596873,-1.650328516960144,-0.21047285199165344,1.1713870763778687,-3.8220804611225607,-1.8153809764578956,1.3005289361818857,6.0684965909307635
