step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-3.138436213181536,-5.229432180118595,0.29,60,5.516785644050097,6.91250874150461,0.9002376379220325,-0.8973051309585571,-0.09512848407030106,0.8722497224807739,-6.414090775306678,-3.138436213181536,1.1846585951880837,0.0,0.2
1,-3.675803236711876,-6.5824054033501405,0.02,98,6.8984126354442346,8.323519111172484,0.994173852435333,-0.6442573070526123,-0.1512780487537384,0.4493977129459381,-7.542669966338704,-3.675803236711876,0.9602645629885633,0.08655839214191863,0.9098203423096322
2,-3.596131024366635,-6.096616646732231,0.09,98,6.527393793852594,7.869405652696144,0.8862342725902933,-0.5612561106681824,-0.05457071587443352,0.5367910265922546,-7.088649892413583,-3.596131024366635,0.9920332456813523,0.48437299400130973,0.7825522812749849
3,-3.699317920608048,-6.515387601741742,0.03,98,6.840011680716835,8.224270670367456,0.961992773205569,-0.6269621849060059,-0.1328033208847046,0.4692540168762207,-7.4669738571291795,-3.699317920608048,0.9515862553874369,0.19999408962314258,0.9134577655748339
4,-3.637871103975757,-6.671948532733717,0.01,98,7.013766931606628,8.50008063986773,1.0652486607772083,-0.6750645637512207,-0.11135289818048477,0.4335886538028717,-7.6888314107937585,-3.637871103975757,1.0168828780600414,-0.16109264030580345,0.9129292639326244
5,-3.55025284665955,-6.572652677278927,0.02,98,6.92558991845554,8.626036377592108,1.1023503959038705,-0.6985641717910767,-0.0885033831000328,0.43226152658462524,-7.6241539556146245,-3.55025284665955,1.0515012783356978,-0.31142628153267876,0.7465183669162251
6,-3.550889690154878,-5.398497246138368,0.44,60,5.617272227079695,7.040140655941609,0.8340935310754748,-1.1329911947250366,-0.008376175537705421,1.150829553604126,-6.750263349999761,-3.550889690154878,1.351766103861393,0.4870427748874586,0.3046852023674023
7,-3.0796615065540647,-5.081748875599328,0.43,60,5.237462225772108,6.653259380224295,0.830142975197048,-1.2037301063537598,-0.025624167174100876,1.1697802543640137,-6.441192371800209,-3.0796615065540647,1.3594434962008812,0.16122652126508918,0.17569422232313664
8,-3.635774058207052,-6.67790608528745,0.01,98,7.022332580417871,8.548742085727573,1.0809909044157686,-0.6912577152252197,-0.10113701224327087,0.43130818009376526,-7.713590182543276,-3.635774058207052,1.0356840972558259,-0.2201282236135283,0.896668644651981
9,-3.9105205078510354,-5.812244043230856,0.25,98,6.173479173426574,7.5570546640989695,0.8652879190903524,-0.7212072610855103,-0.05884062126278877,0.7291880249977112,-6.894686437455063,-3.9105205078510354,1.0824423942242076,0.49993197590833294,0.5480764472065157
10,-3.198526053891108,-5.199160594155296,0.57,60,5.161383604404434,6.577627455916555,0.8029208450975172,-1.5575473308563232,-0.025247910991311073,1.3451964855194092,-6.718930993989959,-3.198526053891108,1.5197703998346634,0.3951808063133121,0.17887963506043292
11,-3.6898192868298163,-4.813952443913239,0.74,17,4.054250870482914,5.22364820641811,0.6805771377568248,-2.2801880836486816,-0.23334901034832,1.4606688022613525,-6.334438824342479,-3.6898192868298163,1.52048638042924,0.1504876288914634,0.05
12,-3.4898583868769495,-4.662800488922969,0.73,17,4.058497398666139,5.25972755628438,0.6869756974262927,-2.1209213733673096,-0.119980089366436,1.455938696861267,-6.17941858316123,-3.4898583868769495,1.516618094238261,0.07116680381690443,0.05
13,-2.813577666649405,-5.250027668471872,0.35,98,5.450582587551573,7.2949465887678,0.94827243023447,-0.9119496941566467,-0.11132991313934326,0.7943589687347412,-6.362532196175555,-2.813577666649405,1.112504527703683,-0.5,0.05
14,-3.3701074815943093,-4.545820930251217,0.66,17,4.147547731790044,5.54339326480473,0.7159551177777559,-1.8915350437164307,-0.05672357603907585,1.435186505317688,-6.039082849378982,-3.3701074815943093,1.493261919127764,-0.027908234663550413,0.05
15,-3.2401699792765397,-4.569898059257736,0.61,98,4.336909141047204,5.851473309945857,0.7604362687392429,-1.657386302947998,-0.031718552112579346,1.3490922451019287,-5.994295440195402,-3.2401699792765397,1.4243973809376662,-0.13103740189582158,0.05
16,-3.3625677442242954,-4.549050236403001,0.65,17,4.206965516807504,5.654182619213512,0.7314325076094221,-1.8087437152862549,-0.04436439275741577,1.40389883518219,-6.01570915587432,-3.3625677442242954,1.4666589194713187,-0.0660907767951392,0.05
17,-3.3623216047879136,-4.54737685152592,0.65,17,4.202298862428672,5.646198101807159,0.7302800599967855,-1.8141579627990723,-0.0450873076915741,1.4067069292068481,-6.016456668691046,-3.3623216047879136,1.469079817165126,-0.06337461720006865,0.05
18,-3.362285598703384,-4.546626888206973,0.65,17,4.200135868618418,5.642467331252305,0.7297425077580106,-1.8167004585266113,-0.04543473944067955,1.4080135822296143,-6.016836186440814,-3.362285598703384,1.4702092982338413,-0.06210324419815133,0.05
19,-3.275777131629977,-4.638321195733589,0.61,60,4.435243812047594,5.895693326053569,0.7644037244285132,-1.6390867233276367,-0.030131161212921143,1.3450266122817993,-6.074330352686996,-3.275777131629977,1.4360091569534066,-0.05103722080476569,0.06526310818552676
20,-3.3277032245275855,-6.227339670495408,0.04,98,6.557691570435923,8.5962636933121,1.1230793238635475,-0.7576830387115479,-0.10882240533828735,0.44748738408088684,-7.315374575321835,-3.3277032245275855,1.0880349048264268,-0.5,0.37550316346191065
21,-3.187405318950493,-5.375509696422667,0.78,34,4.466135263704275,5.788221273408172,0.7471599488815509,-2.464343786239624,-0.021314628422260284,1.5002425909042358,-6.9304790377994525,-3.187405318950493,1.5549693413767856,0.5,0.05
22,-3.3622891738872287,-4.5457426302319295,0.65,17,4.197524596004332,5.637929545615489,0.7290915741258666,-1.8198001384735107,-0.04586503282189369,1.4095921516418457,-6.017324771097447,-3.3622891738872287,1.4715821408655172,-0.06055627333332475,0.05
23,-3.3633099469632475,-4.540074487157077,0.65,17,4.178932390070685,5.604657173538642,0.724366675517437,-1.8425124883651733,-0.04916868358850479,1.4209744930267334,-6.021444851837285,-3.3633099469632475,1.481370364680208,-0.04914821827917604,0.05
24,-3.3640323611937175,-4.538521143929571,0.65,17,4.172917172513892,5.593464813069871,0.7227989384097572,-1.8501092195510864,-0.050400327891111374,1.424682855606079,-6.023026509150852,-3.3640323611937175,1.4845053652212812,-0.045288872530408475,0.05
