step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.2899818588963037,-3.20102362299886,0.91,75,1.7960210926264437,2.927412636203839,0.5041238649745279,-2.9283227920532227,-0.14672121405601501,1.3491480350494385,-4.724343727621427,-1.2899818588963037,1.5233201046225677,1.0
1,-2.3239776908317844,-3.1745282798919443,0.02,56,3.3692956515377883,5.038514132500989,0.7165697644420558,-0.5946506857872009,-0.0166512131690979,0.42565178871154785,-3.9639463632530094,-2.3239776908317844,0.7894180833610651,14.180761813370568
2,-2.8927849138984296,-3.782591396939382,0.01,56,3.6614989256657675,5.531645291955813,0.7749672080467049,-0.9467942118644714,-0.02282831072807312,0.43671461939811707,-4.608293262774499,-2.8927849138984296,0.8257018658351171,21.745508557740806
3,-3.2031411401700285,-4.054310689006009,0.01,75,3.7177949594039608,5.6186799076139575,0.7872096577164106,-1.1810264587402344,-0.012832914479076862,0.4817686975002289,-4.898821292499466,-3.2031411401700285,0.8445106034934576,23.628858607531107
4,-2.527682160917223,-3.444035338325715,0.01,56,3.5535402206971547,5.3584079301053835,0.7524085478406107,-0.7036067247390747,-0.01526715513318777,0.41876381635665894,-4.257146876099264,-2.527682160917223,0.813111537773549,18.563807031874624
5,-2.430999571029876,-3.327097347316925,0.01,56,3.4882373068318806,5.248494711771761,0.7393201813848786,-0.6449217796325684,-0.013672350905835629,0.4216364026069641,-4.133159053672582,-2.430999571029876,0.8060617063556569,16.874859628549636
6,-2.908545481756863,-3.7955541665490666,0.01,56,3.664329152348171,5.5360717310472785,0.7755750738776804,-0.9575416445732117,-0.023136677220463753,0.43823516368865967,-4.621870856581906,-2.908545481756863,0.8263166900328397,21.836444139370847
7,-1.6630343390875604,-2.7761366347434935,0.05,56,3.009659229663115,4.521260138491735,0.657085306377185,-0.513722836971283,-0.03732747584581375,0.44866400957107544,-3.5233820705087,-1.6630343390875604,0.7472454357652064,8.299049792737168
8,-2.9061780022057313,-3.7936175743544394,0.01,56,3.663918750245328,5.535430161589507,0.7754868652853425,-0.9559279680252075,-0.023094406351447105,0.43800458312034607,-4.619846787486429,-2.9061780022057313,0.8262292131319894,21.82323159831561
9,-1.6050713733454176,-2.3391196181280867,0.22,56,2.652610106876082,4.04113617643188,0.60969906393917,-0.7683718204498291,-0.04857232794165611,0.9291109442710876,-3.420981940476185,-1.6050713733454176,1.0818623223480988,4.728625813598879
10,-2.4689022845030246,-3.3774925084266574,0.01,56,3.519509995787716,5.301641867888618,0.7455355646491715,-0.6685950756072998,-0.014326727949082851,0.4203600585460663,-4.188104981494447,-2.4689022845030246,0.8106124730677895,17.662959172905627
11,-1.5882539940568006,-2.3793574153990367,0.18,56,2.6992917593835513,4.108225178749959,0.6154167918881362,-0.704649031162262,-0.0436558835208416,0.8579502701759338,-3.4039408149837183,-1.5882539940568006,1.0245833995846816,5.1027905941757385
12,-1.6711122112645136,-2.276526133817365,0.26,56,2.5834282689920816,3.939660759272112,0.6014686901574973,-0.9065832495689392,-0.04677102342247963,1.1052204370498657,-3.490011504106894,-1.6711122112645136,1.213485370289529,4.216645313635739
13,-1.7614376454309033,-2.317191027864336,0.4,63,2.472823572609964,3.773044492852868,0.5888163683507572,-1.2616101503372192,-0.06269238889217377,1.34060537815094,-3.734433692772333,-1.7614376454309033,1.417242664907997,3.493452941260186
14,-1.714272896559831,-2.265413957332953,0.32,56,2.546690082446353,3.884884786231526,0.597206878100217,-1.0137510299682617,-0.05704295635223389,1.2075049877166748,-3.5604410556411903,-1.714272896559831,1.2950270983082375,3.963975096599549
