step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,param_bins,param_multichannel
0,-1.8872841555268112,-5.280874855101494,0.778,699,4.5690939627024445,9.222562837652394,1.1629030951246317,-2.385932445526123,-0.0032709629740566015,1.5276975631713867,-6.9550262448559605,-1.8872841555268112,1.6741513897544664,256,True
1,-1.7883769544544625,-4.891757160787953,0.871,699,3.9549501988327824,8.220106254014402,1.173460646887193,-2.6411612033843994,-0.0021469376515597105,1.4659761190414429,-6.596111162407905,-1.7883769544544625,1.7043540016199525,256,False
2,-1.7198472998240326,-5.288854320738485,0.777,699,4.585515591044552,9.179088625227095,1.1974591916556392,-2.3895888328552246,-0.0030070410575717688,1.5260703563690186,-6.975104285994419,-1.7198472998240326,1.6862499652559337,128,True
3,-1.570001744402131,-4.896885431999528,0.873,699,3.9631349258766724,8.539818849258067,1.1918342392909749,-2.6465506553649902,-0.0030579783488065004,1.4646532535552979,-6.60968550848977,-1.570001744402131,1.712800076490242,128,False
4,-1.7312708272230273,-5.304765791090364,0.784,744,4.613380434930266,9.354840931511925,1.248040151744128,-2.398547649383545,-0.0026403325609862804,1.5224143266677856,-7.011928111649992,-1.7312708272230273,1.707162320559628,64,True
5,-1.6247195467859723,-4.915484074485743,0.878,699,3.9807469119626466,9.099823986032911,1.216109690392548,-2.6587846279144287,-0.005473426077514887,1.455030083656311,-6.6395316776741655,-1.6247195467859723,1.7240476031884229,64,False
