step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
0,-1.3193934565223167,-1.6032863047579762,0.62,18,1.060930840851353,1.1497175663597117,0.04704679143064335,-2.0399160385131836,-0.3176979422569275,1.498806357383728,-3.1008466185942147,-1.3193934565223167,1.4975603138362386,0.05,0.5
1,-2.5731179684013874,-3.038681405467759,0.3,6,3.226927789514729,3.9982727513048983,0.41987951782164984,-0.9517335295677185,-0.05699903517961502,1.1275923252105713,-4.178661276465126,-2.5731179684013874,1.1399798709973674,0.15077401411406047,0.8969725636457258
2,-3.6372027863892016,-4.506380828490137,0.15,6,4.6915697014964515,5.410594379733157,0.44777964106194523,-0.7217361927032471,-0.022744586691260338,0.8234915137290955,-5.413305989250484,-3.6372027863892016,0.9069251607603468,0.24624951856031432,0.7656855112099844
3,-2.6207346746781393,-3.4846921823835695,0.22,6,3.7016915938007333,4.592760235085315,0.48384346092990443,-0.8267573714256287,-0.020382916554808617,1.0271223783493042,-4.5284488609741125,-2.6207346746781393,1.043756678590543,0.17799858150955422,0.900724852908776
4,-1.7672129929155984,-2.0550179122651144,0.47,35,2.061467298095194,2.5572664913937366,0.27127539854787847,-1.2928378582000732,-0.03671136125922203,1.2943016290664673,-3.3543051188560997,-1.7672129929155984,1.299287206590985,0.09133776632660716,0.900179661741023
5,-1.2873738943570392,-1.6449714244738478,0.63,35,1.2414967133840862,1.412008691298242,0.1133444479133337,-1.8859443664550781,-0.13336601853370667,1.4818514585494995,-3.127441010846788,-1.2873738943570392,1.4824695863729402,0.0552576924321571,0.7285136837662111
6,-3.4115227751825556,-4.18422961689973,0.16,75,4.21001728603567,4.65977162867096,0.32219129154385245,-0.7025829553604126,-0.12582360208034515,0.6654189825057983,-4.912600261065616,-3.4115227751825556,0.7283706441658863,0.24689026597299008,0.2727278929684782
7,-1.7503837692198905,-2.7856968651130996,0.26,75,2.9250500397778842,3.5667486226926997,0.37802809020365036,-0.8975759744644165,-0.06699757277965546,1.0295079946517944,-3.8226259708799217,-1.7503837692198905,1.0369291057668222,0.1686943651036214,0.1396635135543936
8,-1.5569191757956429,-1.8886853178062437,0.51,3,1.7636629529255947,2.1693289747791376,0.22619245616182312,-1.5302636623382568,-0.1436353623867035,1.4075778722763062,-3.293926529284152,-1.5569191757956429,1.4052412114779083,0.07716922633275321,0.8834055492199383
9,-4.1730992906229405,-4.526823399079859,0.16,6,4.554860788378843,4.886998436616649,0.1814775495144233,-0.6596361398696899,-0.03864540159702301,0.6763801574707031,-5.214496949855216,-4.1730992906229405,0.6876735507753574,0.2499836742179999,0.5238051771183004
10,-2.2774384910923295,-3.5801333113715774,0.22,75,3.733174850323159,4.534039507581598,0.47067687613733883,-0.7741509079933167,-0.05511372536420822,0.8524827361106873,-4.5073257696413584,-2.2774384910923295,0.9271924582697811,0.22484339351519492,0.14294951827286764
11,-0.4019718034699899,-1.608331991762381,0.83,96,0.188357031016268,0.253486167170085,0.03564466424530689,-2.8301546573638916,-0.19148387014865875,1.4132364988327026,-3.0185117600547446,-0.4019718034699899,1.4101797682923636,0.01,0.01
12,-0.2600581600448577,-1.437257310514388,0.87,75,0.2338378953475374,0.2622019140495228,0.019289505305133826,-2.6772830486297607,-0.007118587382137775,1.4735080003738403,-2.911120838486389,-0.2600581600448577,1.4738635279720012,0.01,0.685922770749523
13,-0.6012309598079573,-1.6705373521168823,0.89,48,0.2528031011752154,0.3313455887972682,0.039240837752748704,-2.8072643280029297,-0.295400470495224,1.393768072128296,-3.0600673272542025,-0.6012309598079573,1.3895299751373202,0.01,0.99
14,-0.35193782892931286,-1.4608199141297293,0.85,75,0.21546399092210577,0.23171968447993704,0.010840444064943722,-2.705714702606201,-0.1677124947309494,1.4608862400054932,-2.921178448404205,-0.35193782892931286,1.4603585342744758,0.01,0.421092851595582
15,-0.2780886528088,-1.447721294615294,0.87,75,0.22766001035987365,0.25017675962822394,0.014081829861475237,-2.6723885536193848,-0.048659179359674454,1.4519526958465576,-2.9000484246906546,-0.2780886528088,1.4523271300753606,0.01,0.602493494103116
16,-0.2880134969158797,-1.4155946622467508,0.85,75,0.22659029198430677,0.24836631124665776,0.013158399404379663,-2.6573195457458496,-0.05611361935734749,1.46805739402771,-2.8839102167039385,-0.2880134969158797,1.4683155544571878,0.01,0.5863254626498146
17,-0.6317994744968378,-1.441084431323824,0.59,18,1.0474070712035315,1.4062469570671172,0.1957346300973965,-1.8474373817443848,-0.14152288436889648,1.4758825302124023,-2.8948444626336713,-0.6317994744968378,1.4537600313098473,0.058274661055457234,0.01
18,-0.7183950447032745,-1.374448400497612,0.68,75,0.7977777682023364,0.995999308123749,0.11352952250104983,-2.0931236743927,-0.11607076227664948,1.5265473127365112,-2.8909013034181914,-0.7183950447032745,1.5164529029205793,0.04195135023360036,0.11576558090515078
19,-0.5983929261981693,-1.3881372454705232,0.69,75,0.7617129336548903,0.9071554803317486,0.08892951770601995,-2.1246891021728516,-0.14923670887947083,1.5060189962387085,-2.8864020076645476,-0.5983929261981693,1.4982647621940244,0.03904531282851181,0.18219842064106406
20,-0.7572705382739279,-1.4575577975102672,0.67,75,0.8743765325021218,1.074636074883052,0.11710447121988828,-2.0946907997131348,-0.18236607313156128,1.5242427587509155,-2.969067279912181,-0.7572705382739279,1.5115094824019137,0.046076457922060596,0.138641678934284
21,-0.6743602693444057,-1.3235887899181942,0.73,81,0.5611171460702267,0.6449740277743116,0.05547968096754249,-2.294184684753418,-0.07574444264173508,1.532535433769226,-2.8553016997679324,-0.6743602693444057,1.5317129098497382,0.027722516410738286,0.2313080286838149
22,-0.31311090160662736,-1.4024719484257946,0.83,75,0.2048370978593715,0.2316040115228775,0.018767136015132947,-2.6921932697296143,-0.12223196774721146,1.4954591989517212,-2.8970304578155166,-0.31311090160662736,1.494558509389722,0.01,0.2760899437390508
23,-0.7530174454501171,-1.3316521832581782,0.74,81,0.5811151306880609,0.6453490296482605,0.047377557832749745,-2.2856922149658203,-0.13202232122421265,1.5360990762710571,-2.866807228828778,-0.7530174454501171,1.5351550455705996,0.028294195905077667,0.2828696646714631
24,-0.7197574402240123,-1.3333337279899864,0.73,96,0.559534545246076,0.6267233957151176,0.04836979232659388,-2.3031890392303467,-0.11790554225444794,1.528846025466919,-2.862723641696881,-0.7197574402240123,1.5293899137068945,0.027323534177937522,0.26768435664911233
