step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_size
0,-1.1240186806178598,-2.5411209607521847,0.659,412,2.2138200550885547,4.250873709582503,0.6022085552559011,-1.6528589725494385,-0.14951063692569733,1.2116153240203857,-3.8666790296794527,-1.1240186806178598,1.3255580689272681,5.0
1,-1.6562327965656523,-3.398553793918584,0.02,873,3.327690664719552,5.048757762032699,0.6659663524910517,-0.7576048374176025,-0.23189261555671692,0.17636272311210632,-4.08529548577568,-1.6562327965656523,0.6867416918570957,29.74136121495401
2,-2.2956468292212646,-3.778939642767326,0.014,616,3.643986116968016,5.340985979819111,0.680418980132181,-0.8272989392280579,-0.1493234783411026,0.1981147974729538,-4.4712850248887355,-2.2956468292212646,0.6923453821214095,45.34862818228629
3,-2.4119525535492734,-3.827132014098126,0.013,503,3.7068048116385035,5.455941550858424,0.6837320611732908,-0.8111011981964111,-0.12148091197013855,0.18184694647789001,-4.517905977275877,-2.4119525535492734,0.6907739631777512,49.23427670606418
4,-1.9305246260010478,-3.618778584857777,0.016,873,3.5253601845432074,5.166500336130691,0.6746253628719827,-0.7828784584999084,-0.23391324281692505,0.16851270198822021,-4.3082386657077825,-1.9305246260010478,0.6894600808500051,38.784275560499225
5,-1.7866047760225303,-3.5288139721388996,0.019,873,3.454653209329257,5.12526122932953,0.6713683248632987,-0.7613502740859985,-0.22263255715370178,0.17021645605564117,-4.216003465891491,-1.7866047760225303,0.6871894937525918,35.299710391533985
6,-2.3029519028433363,-3.7810341206449976,0.014,616,3.6471393856234235,5.346595045078423,0.6805702615043887,-0.8254680037498474,-0.14691132307052612,0.19326439499855042,-4.472607429978935,-2.3029519028433363,0.6915733093339377,45.5362426454388
7,-1.4788966098653484,-2.9488878125414946,0.077,873,2.9590925770195016,4.861134415687237,0.6520160689061512,-0.7033898830413818,-0.07522623240947723,0.310865193605423,-3.66248245347457,-1.4788966098653484,0.7135946409330753,17.606460625015632
8,-2.301854740115802,-3.78074181492971,0.014,616,3.6466821149459467,5.3457805851721,0.6805480390140473,-0.8257318139076233,-0.1472337692975998,0.19389581680297852,-4.472413922997413,-2.301854740115802,0.6916721080677032,45.508983087051156
9,-1.2329243938653331,-2.629580498281064,0.291,873,2.615607798141024,4.576182651324829,0.6353311723360008,-0.9017840623855591,-0.16351445019245148,0.6272545456886292,-3.5173918489185785,-1.2329243938653331,0.8878113506375142,10.240112204898741
10,-1.8385780194398054,-3.5645753764044317,0.019,873,3.4883777862617587,5.145099695441395,0.6729363591531716,-0.7641648650169373,-0.21322867274284363,0.16907888650894165,-4.252542647672615,-1.8385780194398054,0.6879672712681835,36.925684188310555
11,-1.1115139095876931,-2.7032376300622643,0.877,744,1.701927307979253,3.4582981552806515,0.5076500998088639,-2.430325746536255,-0.11617492884397507,1.355692982673645,-4.132253169932452,-1.1115139095876931,1.4290155398701871,2.1901950287400735
12,-1.1047442045990554,-2.4556128930565966,0.532,873,2.354244072901994,4.373314591029192,0.6155277120244462,-1.3089543581008911,-0.08605941385030746,1.0549869537353516,-3.6631984824938466,-1.1047442045990554,1.20758558943725,6.507216081083062
13,-1.1452865835730917,-2.4922097763534454,0.484,873,2.4355477149799962,4.434107355346014,0.6233713651682353,-1.158450722694397,-0.10118746757507324,0.9193164706230164,-3.5939982800052066,-1.1452865835730917,1.101788503651761,7.492815871665949
14,-1.1071234244720563,-2.460498302562252,0.517,873,2.383031187034461,4.3964861824651935,0.6190174049302528,-1.2519845962524414,-0.08300751447677612,1.0093355178833008,-3.6350159051560493,-1.1071234244720563,1.1745176025937976,6.848224592388969
15,-1.633298678950216,-3.150723944168842,0.038,873,3.138327595280163,4.935160362221002,0.658805872217342,-0.7182131409645081,-0.03724203258752823,0.2670707106590271,-3.8565406975538057,-1.633298678950216,0.7058167533849637,22.85977982530003
16,-1.1072256772691285,-2.4608760134989764,0.517,873,2.3836243215371877,4.396951814872833,0.619089176997292,-1.2509725093841553,-0.08308406174182892,1.0083062648773193,-3.634596857281497,-1.1072256772691285,1.1737208437825206,6.855401438794692
17,-1.1093170915360702,-2.4635877280197223,0.512,873,2.3906588058318627,4.402394220227996,0.61991124017236,-1.2375915050506592,-0.0845625251531601,0.9967314600944519,-3.6282504106383455,-1.1093170915360702,1.1646626826186233,6.9404791247472035
18,-1.1546997312362741,-2.4552990087821245,0.537,412,2.347968656571493,4.368133272947117,0.6147788111599537,-1.3221567869186401,-0.08789977431297302,1.0644110441207886,-3.6701254756691912,-1.1546997312362741,1.214826466887067,6.434757289279387
19,-1.1546625421850063,-2.4547002003751834,0.536,412,2.3487466349145127,4.368777307302236,0.6148713284676519,-1.3200405836105347,-0.08766616135835648,1.063480257987976,-3.6687871142467214,-1.1546625421850063,1.214086913871538,6.443700212309266
20,-1.1546545745363126,-2.4556684589021875,0.537,412,2.3489853665193374,4.368974872826859,0.6148997790296685,-1.3199630975723267,-0.0875970646739006,1.0628926753997803,-3.6689484684428026,-1.1546545745363126,1.2132800095406153,6.446447009667187
21,-1.2687079984659868,-2.724011795890891,0.171,873,2.7844154669838783,4.746348725153345,0.64445395217718,-0.7132376432418823,-0.041739046573638916,0.4371618330478668,-3.4976531574475405,-1.2687079984659868,0.7736413615566493,13.466495326887785
22,-1.1051962670495694,-2.455256329623118,0.536,873,2.350225876759001,4.370000733333306,0.615047759874179,-1.3172729015350342,-0.08721756190061569,1.061066746711731,-3.6674987794861282,-1.1051962670495694,1.2122424498630102,6.460737039306532
