step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
15,-1.155548318398989,-5.1796042327787335,0.702,528,4.497138140523106,6.128123762572348,0.7304000322985283,-2.6013119220733643,-0.00012911199883092195,1.820162057876587,-7.0984501863917355,-1.155548318398989,1.9188459536130023,-0.17503279134955535,0.05
16,-1.1550451435624156,-5.17928371707853,0.702,528,4.4958610179676075,6.124995468892711,0.7301678720835687,-2.6022181510925293,-0.00012899277498945594,1.8201930522918701,-7.098079471322654,-1.1550451435624156,1.9187957542441247,-0.1745454144413126,0.05
17,-1.0765749458007976,-5.185208745785518,0.742,528,4.281717563393413,5.689721500874203,0.6835790880439409,-2.782039165496826,-0.00018914342217613012,1.7937148809432983,-7.06375648275593,-1.0765749458007976,1.8785477369704116,-0.07074698470270024,0.05101382610762793
18,-1.1153893617928434,-5.177535600387589,0.721,528,4.392397604180363,5.857107759320645,0.7101855896994823,-2.687924861907959,-0.0001328079670201987,1.8096818923950195,-7.080322567835517,-1.1153893617928434,1.902786967447928,-0.13282892154205828,0.05
19,-1.8413942846994964,-5.263525747536063,0.785,727,4.125851721620971,5.360964904966629,0.6416523317975998,-2.955807685852051,-0.000460134499007836,1.7395728826522827,-7.081659459034619,-1.8413942846994964,1.818133711498557,0.036810081228659586,0.05015432204119772
20,-1.253592899596649,-5.202057449423026,0.661,528,4.740011142115114,6.624407281690708,0.7705338132967532,-2.409458637237549,-0.0001744183973642066,1.8384512662887573,-7.149469945827679,-1.253592899596649,1.9474124964046535,-0.2578123871854335,0.050459684753607424
21,-1.123436757067294,-5.1802148637607495,0.718,528,4.41375132277632,5.906771435180932,0.7145127405813458,-2.6716675758361816,-0.00013101959484629333,1.8109899759292603,-7.08541887599347,-1.123436757067294,1.9052040122327205,-0.14184978920392188,0.05
22,-2.1063299866673777,-5.776328591287482,0.231,641,6.411314674606224,8.782218089715357,1.026364437349741,-0.9309177398681641,-1.1920930376163597e-07,1.2994128465652466,-7.342232468301054,-2.1063299866673777,1.5659038770135714,-0.49984430444467964,0.25822295850755833
23,-1.099616123790015,-5.170359585798473,0.723,528,4.3540184462155915,5.801142063785134,0.7009126038487481,-2.7155497074127197,-0.00013650394976139069,1.8093591928482056,-7.069568202914338,-1.099616123790015,1.899208617115865,-0.10862997565680255,0.05088007728496016
24,-1.121632343104476,-5.178983077463674,0.718,528,4.409020718701493,5.8930507301873485,0.7135642868532757,-2.674973249435425,-0.00013149649021215737,1.8110871315002441,-7.083994115618891,-1.121632343104476,1.9050110381552168,-0.1398720079341586,0.05
